Industry,Country,State,URL,traffic-count,traffic-value,domain-rating,State,Country,flesch_kincaid,automated_readability,coleman_liau,flesch_reading_ease,gunning_fog,smog,word_count,sentence_count,long_word_count,reading_time,standard,dale_chall,avg_sentence_length,WORDS,CAPABILITY,LEGAL,BUSINESS_FOCUS,UTILIZATION,INNOVATION,SECURITY,EDUCATION,TECHNOLOGY,DNSMI,num-pages-analyzed
HEALTH,US,MN,https://mayoclinic.org,161000000.0,52000000.0,92.0,MN,US,13.6,15.6,13.35,39.26,10.77,15.1,8851,379,1656,701.3,14.0,6.02,18.5615866388309,186,48,41,25,38,12,17,21,11,False,1
HEALTH,US,ID,https://clevelandclinic.org,117000000.0,48000000.0,91.0,ID,US,13.6,15.6,13.35,39.26,10.77,15.1,8851,379,1656,701.3,14.0,6.02,18.5615866388309,159,40,32,20,21,7,20,16,4,False,1
HEALTH,US,ID,https://healthline.com,96000000.0,25000000.0,92.0,ID,US,12.7,15.7,12.89,47.01,10.3,14.7,10673,443,1817,833.73,13.0,1.88,18.283760683760683,554,166,134,64,60,28,46,88,36,False,1
HEALTH,US,ID,https://medicalnewstoday.com,64000000.0,20000000.0,91.0,ID,US,12.6,14.4,12.82,41.8,10.17,14.3,6451,309,1179,511.4,13.0,6.35,12.918489065606362,12,4,1,4,3,1,1,0,3,False,1
HEALTH,US,ID,https://healthgrades.com,5300000.0,4700000.0,87.0,ID,US,10.4,13.1,12.65,53.0,10.36,13.3,273,15,48,21.64,13.0,7.89,13.095238095238095,364,95,115,77,93,10,32,43,29,False,1
HEALTH,US,NY,https://webmd.com,107000000.0,46000000.0,92.0,NY,US,12.3,15.0,14.04,42.72,10.04,14.6,8369,418,1685,688.64,15.0,6.39,14.108695652173912,265,54,59,54,25,7,27,53,26,False,1
HEALTH,US,NY,https://verywellhealth.com,16000000.0,4600000.0,90.0,NY,US,12.5,14.9,12.36,47.42,11.3,14.5,7238,306,1210,553.01,15.0,6.64,18.089330024813897,329,85,79,75,59,22,31,48,7,False,1
HEALTH,US,NY,https://plannedparenthood.org,13000000.0,4700000.0,85.0,NY,US,14.9,17.0,14.34,30.5,11.51,16.0,8769,370,1869,727.45,15.0,6.59,15.898576512455517,429,195,95,166,85,44,95,111,25,False,1
HEALTH,US,NY,https://medscape.com,7800000.0,3800000.0,90.0,NY,US,13.7,16.0,14.97,33.65,10.5,15.2,8212,399,1783,694.91,15.0,6.56,13.36569579288026,26,42,58,49,24,6,20,17,16,False,1
HEALTH,US,NY,https://babycenter.com,7100000.0,1300000.0,83.0,NY,US,13.8,16.5,14.05,38.76,11.94,15.4,6064,254,1166,492.14,12.0,6.98,16.11548556430446,887,192,206,166,188,18,62,100,46,True,1
HEALTH,IN,NON-US,https://pharmeasy.in,9500000.0,520000.0,76.0,N/A,IN,12.5,15.0,13.58,42.21,10.0,14.5,10677,520,2048,871.37,15.0,6.35,13.130750605326876,197,42,48,30,19,7,25,12,5,False,1
HEALTH,IN,NON-US,https://truemeds.in,5500000.0,304000.0,45.0,N/A,IN,15.5,17.6,12.65,34.19,14.18,16.5,4857,171,935,376.99,16.0,7.56,20.445378151260503,165,36,62,31,21,10,24,9,5,False,1
HEALTH,TR,NON-US,https://memorial.com.tr,33000000.0,873000.0,74.0,N/A,TR,15.4,17.7,12.94,34.6,14.21,16.4,5010,179,965,393.19,18.0,7.67,15.5,65,3,19,5,5,4,8,12,1,False,1
HEALTH,IS,NON-US,https://tuasaude.com,29000000.0,1600000.0,78.0,N/A,IS,12.3,14.0,12.88,42.51,12.22,14.7,1150,57,234,91.14,13.0,8.29,11.775510204081632,24,0,5,5,7,0,0,75,0,N/A,1
HEALTH,DE,NON-US,https://pinterest.de,8400000.0,627000.0,91.0,N/A,DE,7.1,9.2,10.25,67.04,9.1,10.8,886,70,126,67.1,8.0,8.4,9.091836734693878,1,1,63,37,40,7,40,70,8,False,1
HEALTH,DE,NON-US,https://jysk.de,3200000.0,425000.0,51.0,N/A,DE,10.5,11.7,11.26,52.8,9.27,13.1,4747,258,793,355.16,11.0,6.47,13.667621776504298,34,3,6,14,7,1,7,9,0,N/A,1
JOBS AND EDUCATION,US,CA,https://linkedin.com,170000000.0,91000000.0,98.0,CA,US,10.7,12.4,14.49,41.46,10.04,12.9,492,38,111,41.93,11.0,8.06,7.235294117647059,634,146,156,55,205,16,118,76,20,False,1
JOBS AND EDUCATION,US,CA,https://quillbot.com,54000000.0,2800000.0,79.0,CA,US,10.3,12.2,11.54,53.1,8.86,12.7,8740,484,1372,670.08,11.0,6.13,11.632679738562091,16,3,3,4,0,11,0,0,0,False,1
JOBS AND EDUCATION,US,CA,https://ziprecruiter.com,13000000.0,5800000.0,87.0,CA,US,6.2,8.7,10.65,69.18,7.8,9.2,382,36,41,29.64,9.0,8.83,7.30188679245283,0,2,8,80,216,27,52,76,23,False,1
JOBS AND EDUCATION,US,CA,https://desmos.com,10000000.0,4600000.0,79.0,CA,US,11.6,14.0,12.13,49.96,9.96,13.8,12177,575,2013,941.81,14.0,6.02,14.2,152,43,49,19,56,4,15,15,2,False,1
JOBS AND EDUCATION,US,MA,https://sarkariresult.com,64000000.0,1100000.0,72.0,MA,US,13.7,16.2,13.41,38.96,11.97,15.2,3965,167,748,318.85,12.0,7.16,13.518518518518519,57,12,29,7,11,3,6,2,5,False,1
JOBS AND EDUCATION,US,AZ,https://grammarly.com,30000000.0,10000000.0,90.0,AZ,US,11.0,12.6,12.93,45.96,8.99,13.3,2061,123,389,165.04,13.0,7.0,12.860606060606061,149,42,29,16,40,5,27,28,4,False,1
JOBS AND EDUCATION,US,AZ,https://khanacademy.org,20000000.0,5600000.0,90.0,AZ,US,12.0,13.3,12.65,43.53,9.69,13.3,4752,247,781,372.7,13.0,6.39,14.95924764890282,298,103,94,45,50,15,46,86,25,False,1
JOBS AND EDUCATION,US,AZ,https://jagranjosh.com,17000000.0,722000.0,77.0,AZ,US,11.3,12.2,12.0,45.25,9.2,13.5,4350,248,816,336.86,12.0,6.53,12.680232558139535,163,25,38,19,39,6,18,8,2,False,1
JOBS AND EDUCATION,US,AZ,https://cuemath.com,13000000.0,1100000.0,73.0,AZ,US,13.2,14.6,14.04,34.97,11.46,15.0,3334,173,743,274.79,15.0,8.1,12.101083032490974,244,53,81,42,105,15,35,28,15,False,1
JOBS AND EDUCATION,US,AZ,https://vedantu.com,12000000.0,736000.0,73.0,AZ,US,14.0,15.9,12.89,38.25,11.96,14.9,7845,322,1371,615.72,12.0,6.91,16.62473794549266,25,5,11,2,2,1,0,17,0,False,1
JOBS AND EDUCATION,US,AZ,https://quizizz.com,12000000.0,6800000.0,79.0,AZ,US,10.5,13.4,13.29,52.7,9.66,12.1,2018,109,269,160.74,11.0,7.41,16.0078125,327,62,118,42,114,5,34,28,2,False,1
JOBS AND EDUCATION,US,AZ,https://coursera.org,11000000.0,12000000.0,91.0,AZ,US,12.0,14.2,13.63,43.32,9.23,14.6,18355,947,3804,1486.14,15.0,5.88,13.668367346938776,252,52,34,36,85,20,17,36,10,False,1
JOBS AND EDUCATION,US,AZ,https://jooble.org,9800000.0,739000.0,89.0,AZ,US,12.5,14.0,12.59,42.11,10.5,14.2,6564,318,1189,514.08,13.0,6.66,14.177730192719485,0,0,0,0,0,0,2,0,0,False,1
