,URL,Industry,Country,State,flesch_kincaid,automated_readability,coleman_liau,flesch_reading_ease,gunning_fog,smog,standard,dale_chall,Complexity Avg
0,https://mayoclinic.org,HEALTH,US,MN,13.6,15.6,13.35,39.26,10.77,15.1,14.0,6.02,17.38285714285714
1,https://clevelandclinic.org,HEALTH,US,ID,13.6,15.6,13.35,39.26,10.77,15.1,14.0,6.02,17.38285714285714
2,https://healthline.com,HEALTH,US,ID,12.7,15.7,12.89,47.01,10.3,14.7,13.0,1.88,18.04285714285714
3,https://medicalnewstoday.com,HEALTH,US,ID,12.6,14.4,12.82,41.8,10.17,14.3,13.0,6.35,17.012857142857143
4,https://healthgrades.com,HEALTH,US,ID,10.4,13.1,12.65,53.0,10.36,13.3,13.0,7.89,17.972857142857144
5,https://webmd.com,HEALTH,US,NY,12.3,15.0,14.04,42.72,10.04,14.6,15.0,6.39,17.67142857142857
6,https://verywellhealth.com,HEALTH,US,NY,12.5,14.9,12.36,47.42,11.3,14.5,15.0,6.64,18.282857142857143
7,https://plannedparenthood.org,HEALTH,US,NY,14.9,17.0,14.34,30.5,11.51,16.0,15.0,6.59,17.035714285714285
8,https://medscape.com,HEALTH,US,NY,13.7,16.0,14.97,33.65,10.5,15.2,15.0,6.56,17.002857142857142
9,https://babycenter.com,HEALTH,US,NY,13.8,16.5,14.05,38.76,11.94,15.4,12.0,6.98,17.492857142857144
10,https://pharmeasy.in,HEALTH,IN,NON-US,12.5,15.0,13.58,42.21,10.0,14.5,15.0,6.35,17.541428571428572
11,https://truemeds.in,HEALTH,IN,NON-US,15.5,17.6,12.65,34.19,14.18,16.5,16.0,7.56,18.08857142857143
12,https://memorial.com.tr,HEALTH,TR,NON-US,15.4,17.7,12.94,34.6,14.21,16.4,18.0,7.67,18.464285714285715
13,https://tuasaude.com,HEALTH,IS,NON-US,12.3,14.0,12.88,42.51,12.22,14.7,13.0,8.29,17.372857142857143
14,https://pinterest.de,HEALTH,DE,NON-US,7.1,9.2,10.25,67.04,9.1,10.8,8.0,8.4,17.355714285714285
