URL,Industry,Country,State,WORDS,CAPABILITY,LEGAL,BUSINESS_FOCUS,UTILIZATION,INNOVATION,SECURITY,EDUCATION,TECHNOLOGY
https://mayoclinic.org,HEALTH,US,MN,186,48,41,25,38,12,17,21,11
https://clevelandclinic.org,HEALTH,US,ID,159,40,32,20,21,7,20,16,4
https://healthline.com,HEALTH,US,ID,554,166,134,64,60,28,46,88,36
https://medicalnewstoday.com,HEALTH,US,ID,12,4,1,4,3,1,1,0,3
https://healthgrades.com,HEALTH,US,ID,364,95,115,77,93,10,32,43,29
https://webmd.com,HEALTH,US,NY,265,54,59,54,25,7,27,53,26
https://verywellhealth.com,HEALTH,US,NY,329,85,79,75,59,22,31,48,7
https://plannedparenthood.org,HEALTH,US,NY,429,195,95,166,85,44,95,111,25
https://medscape.com,HEALTH,US,NY,26,42,58,49,24,6,20,17,16
https://babycenter.com,HEALTH,US,NY,887,192,206,166,188,18,62,100,46
https://pharmeasy.in,HEALTH,IN,NON-US,197,42,48,30,19,7,25,12,5
https://truemeds.in,HEALTH,IN,NON-US,165,36,62,31,21,10,24,9,5
https://memorial.com.tr,HEALTH,TR,NON-US,65,3,19,5,5,4,8,12,1
https://tuasaude.com,HEALTH,IS,NON-US,24,0,5,5,7,0,0,75,0
https://pinterest.de,HEALTH,DE,NON-US,1,1,63,37,40,7,40,70,8
https://jysk.de,HEALTH,DE,NON-US,34,3,6,14,7,1,7,9,0
https://linkedin.com,JOBS AND EDUCATION,US,CA,634,146,156,55,205,16,118,76,20
https://quillbot.com,JOBS AND EDUCATION,US,CA,16,3,3,4,0,11,0,0,0
https://ziprecruiter.com,JOBS AND EDUCATION,US,CA,0,2,8,80,216,27,52,76,23
https://desmos.com,JOBS AND EDUCATION,US,CA,152,43,49,19,56,4,15,15,2
https://sarkariresult.com,JOBS AND EDUCATION,US,MA,57,12,29,7,11,3,6,2,5
https://grammarly.com,JOBS AND EDUCATION,US,AZ,149,42,29,16,40,5,27,28,4
https://khanacademy.org,JOBS AND EDUCATION,US,AZ,298,103,94,45,50,15,46,86,25
https://jagranjosh.com,JOBS AND EDUCATION,US,AZ,163,25,38,19,39,6,18,8,2
https://cuemath.com,JOBS AND EDUCATION,US,AZ,244,53,81,42,105,15,35,28,15
https://vedantu.com,JOBS AND EDUCATION,US,AZ,25,5,11,2,2,1,0,17,0
https://quizizz.com,JOBS AND EDUCATION,US,AZ,327,62,118,42,114,5,34,28,2
https://coursera.org,JOBS AND EDUCATION,US,AZ,252,52,34,36,85,20,17,36,10
https://jooble.org,JOBS AND EDUCATION,US,AZ,0,0,0,0,0,0,2,0,0
https://sarkarialert.net,JOBS AND EDUCATION,US,AZ,26,5,14,8,3,2,1,4,7
https://unacademy.com,JOBS AND EDUCATION,US,AZ,7,0,0,0,42,11,24,21,6
https://leverageedu.com,JOBS AND EDUCATION,US,AZ,100,18,7,11,16,2,9,6,4
https://mathplayground.com,JOBS AND EDUCATION,US,AZ,31,5,14,6,8,2,6,0,2
https://testbook.com,JOBS AND EDUCATION,US,CO,74,12,13,11,14,2,9,5,2
https://clever.com,JOBS AND EDUCATION,US,CO,204,29,29,34,47,13,19,25,4
https://adp.com,JOBS AND EDUCATION,US,NJ,449,99,114,72,252,35,93,102,29
https://udemy.com,JOBS AND EDUCATION,US,"Data protected, not disclosed",0,0,0,0,0,0,2,0,0
https://instructure.com,JOBS AND EDUCATION,US,UT,174,39,41,32,61,19,20,29,31
https://blooket.com,JOBS AND EDUCATION,US,DE,362,67,106,34,63,11,57,31,3
https://mynavi.jp,JOBS AND EDUCATION,JP,NON-US,17,10,3,4,3,4,3,2,8
