,URL,Industry,Country,State,flesch_kincaid,automated_readability,coleman_liau,flesch_reading_ease,gunning_fog,smog,standard,dale_chall
86,https://valuecom.com,REAL ESTATE,US,AZ,0.5815792715300383,0.7740091046320541,0.6637087616258325,-0.47286306533945627,0.6390157657492359,0.7093942802549175,-0.4517170780940811,-0.2052458188070632
78,https://natashaskitchen.com,FOOD AND DRINK,US,AZ,-1.1068766780732961,0.6041046670298957,1.5828111858401337,-0.09063613027274496,2.6188362558264178,-5.807248349397153,0.8492281068168732,5.058458619299159
70,https://stackoverflow.com,COMPUTERS AND ELECTRONICS,US,NY,-0.6244606924723434,-0.4153219585830533,-1.2689244180576629,1.2566389672208857,-0.07088002750553084,-0.4354213168461226,-0.8853654730643993,-0.046427150415927196
36,https://wellsfargo.com,FINANCE,US,CA,-0.2867695025516768,-0.4153219585830533,0.1475005507657456,-0.006805679762029829,-0.3863892689520926,-0.08317036389195634,-0.4517170780940811,0.08214034304356381
67,https://bluestacks.com,COMPUTERS AND ELECTRONICS,US,AZ,0.3886128772896571,0.13686746362396102,-0.06653700007868049,-0.3610891313251702,0.8756476968341586,0.3131119581814805,-0.4517170780940811,0.324149742496723
56,https://github.com,COMPUTERS AND ELECTRONICS,US,CA,-0.6244606924723434,-0.627702505585751,-0.5449738784368094,0.7267107622067247,-0.4889297724222261,-0.5234840550846638,-0.018068683123763,0.14264269290685377
76,https://tastesbetterfromscratch.com,FOOD AND DRINK,US,AZ,-2.650607831996345,-2.7090318662121886,-2.3517026164471124,2.3504267500749747,-3.210196979898831,-2.6369897728096596,-2.6199590529456716,1.1636198468498709
26,https://businessinsider.com,FINANCE,US,AZ,0.24388808160937095,0.3067719012261186,-0.43165988093093693,0.23969576400161952,0.5838016484960872,0.3131119581814805,-0.018068683123763,-0.2354969937387082
48,https://westernunion.com,FINANCE,US,CO,-2.119950247835297,-2.1143663346046346,-1.829199183503366,2.0570201732874716,-1.8929458968594304,-1.6242682830664326,-1.7526622630050355,-0.046427150415927196
80,https://rentcafe.com,REAL ESTATE,US,ID,-0.0938031083112956,-0.11798919277927683,-0.6142213213570646,0.4223263883285337,0.5995771105684163,0.1369864817043974,-0.4517170780940811,0.17289386783849878
1,https://glamour.com,BEAUTY AND FITNESS,US,NY,0.9675120600108,1.3261985268390684,0.9218128670558758,-0.6644755236496617,0.6547912278215651,0.9295511258512712,-0.4517170780940811,-0.500194774390602
31,https://paypal.com,FINANCE,US,CA,-0.19028630543148664,-0.16046530217981622,-0.43165988093093693,0.4832032631041718,0.00010955181994709063,0.0929551125851268,-0.4517170780940811,-0.4321296307944009
32,https://coinmarketcap.com,FINANCE,US,CA,0.6298208700901334,0.7315329952315139,0.5566899862036194,-0.5028025119504256,-0.13398187579484208,0.4452060655392923,0.8492281068168732,-0.8178321111728739
37,https://experian.com,FINANCE,US,CA,-0.2867695025516768,-0.500274177384132,0.5440995420363005,-0.5467137003131814,-1.6168753105936882,-0.12720173301122692,-1.7526622630050355,-0.2733109624032649
65,https://freepdfconvert.com,COMPUTERS AND ELECTRONICS,US,AZ,0.340371278729562,0.26429579182557916,0.33635721327553386,-0.35110931578818017,0.2288537518687045,0.5773001728971049,0.8492281068168732,-0.2581853749374421
5,https://youtube.com,ENTERTAINMENT,US,CA,-0.19028630543148664,-0.33036973978197454,0.07825310784549043,-0.0676825545376679,-0.2207469171926478,0.18101785082366798,-0.4517170780940811,0.24852180516761088
60,https://cloud.google.com,COMPUTERS AND ELECTRONICS,US,CA,1.4499280456117527,1.0288657610352911,0.7014800941277903,-1.4688486559310436,0.9150863520149781,1.2818020788054374,0.8492281068168732,-0.2354969937387082
58,https://icloud.com,COMPUTERS AND ELECTRONICS,US,CA,1.1122368556910862,1.0288657610352911,0.30488110285723546,-0.7662696421269578,0.9466372761596351,0.8855197567319998,0.4155797118465551,-0.5833855054526251
24,https://animalia.bio,PETS AND ANIMALS,US,CA,1.1122368556910862,1.7084835114439236,1.507268520836218,-0.7562898265899678,1.790624497029191,0.7974570184934586,1.2828765017871913,0.5207823795524158
75,https://thekitchn.com,FOOD AND DRINK,US,AZ,0.340371278729562,0.17934357302450038,0.2293384378533208,-0.35110931578818017,0.5916893795322524,0.3571433273007511,-0.4517170780940811,0.036763580646096
68,https://techtarget.com,COMPUTERS AND ELECTRONICS,US,MA,0.4850960744098473,0.6041046670298957,-0.3561172159270212,0.10796219891335337,0.5759139174599233,0.26908058906220994,-0.4517170780940811,-0.7648925550424951
2,https://yelp.com,BEAUTY AND FITNESS,US,CA,1.4981696441718477,1.241246308037989,0.9218128670558758,-1.4888082870050237,0.5128120691706106,1.0616452332090829,1.7165248967575095,-0.666576236514649
85,https://aplaceformom.com,REAL ESTATE,US,AZ,-1.2516014737535823,-1.3073202559943835,-1.8921514043399617,1.590962787710046,-0.7571126276518044,-0.8757350080388301,-1.3190138680347174,0.05945196184482991
54,https://microsoft.com,COMPUTERS AND ELECTRONICS,US,WA,-1.203359875193487,-1.3497963653949228,-0.633106987608043,0.5001689495170547,-1.7509667382084773,-0.8317036389195587,-1.7526622630050355,0.24852180516761088
57,https://hp.com,COMPUTERS AND ELECTRONICS,US,CA,0.7263040672103236,0.6041046670298957,1.0603077528963873,-1.0736479606662452,-0.26018557237346734,0.26908058906220994,0.8492281068168732,-0.3035621373349099
16,https://petinsurance.com,PETS AND ANIMALS,US,FL,1.2569616513713715,1.0713418704358306,0.9910603099761321,-1.3780323345444363,0.37872064155582147,0.9295511258512712,0.8492281068168732,-0.598511092918448
84,https://redfin.com,REAL ESTATE,US,AZ,-0.5279774953521532,-0.7551308337873699,-0.179850997584553,0.1349077008632263,-0.859653131121938,-0.25929584036903947,-0.4517170780940811,0.18801945530432093
17,https://spotpet.com,PETS AND ANIMALS,US,FL,-1.058635079513201,-1.1374158183922252,-1.0926581997151936,0.9492606486815982,0.14208871047090016,-0.12720173301122692,-0.4517170780940811,0.9518616223283566
74,https://sallysbakingaddiction.com,FOOD AND DRINK,US,AZ,-0.2867695025516768,0.3067719012261186,1.3184118583264308,-0.006805679762029829,0.2682924070495254,0.1369864817043974,-0.4517170780940811,0.9291732411296221
15,https://petmd.com,PETS AND ANIMALS,US,FL,-0.0938031083112956,-0.33036973978197454,-0.9793442022093211,0.4323062038655237,0.2288537518687045,-0.03913899477268575,-0.4517170780940811,-0.348938899732377
87,https://housing.com,REAL ESTATE,US,CO,-0.23852790399158175,-0.5852263961852117,0.04048177534353256,-0.026765310836009824,0.33928198637500195,0.26908058906220994,-0.4517170780940811,1.0274895596574687
73,https://loveandlemons.com,FOOD AND DRINK,US,AZ,0.19564648304927584,0.17934357302450038,1.8598009575211554,-1.3301292199668846,0.41027156570047846,-0.21526447124976889,-0.018068683123763,1.8518340765447936
27,https://bankbazaar.com,FINANCE,US,AZ,0.8227872643305147,0.8589613234331328,0.4433759886977469,-0.5936188333370337,0.37083291051965755,0.7974570184934586,1.2828765017871913,-0.530445949322247
25,https://livemint.com,FINANCE,US,AZ,-0.23852790399158175,-0.4577980679835927,0.0027104428415758025,-0.016785495299019827,-0.6940107793624918,-0.08317036389195634,0.4155797118465551,0.01407519944736277
66,https://fotor.com,COMPUTERS AND ELECTRONICS,US,AZ,-0.38325269967186704,-0.245417520980895,-0.46943121343289373,0.5849973815814686,1.28580971071469,-0.25929584036903947,-0.018068683123763,1.3224385152410074
52,https://pnc.com,FINANCE,US,PA,-0.431494298231963,-0.4153219585830533,0.25451932618795864,0.07403082608758824,-0.6309089310731792,-0.17123310213049753,0.4155797118465551,0.2409590114346998
40,https://investopedia.com,FINANCE,US,NY,0.9675120600108,0.8589613234331328,0.11602444034744831,-0.6854331362773405,0.481261145025955,0.7974570184934586,1.2828765017871913,-0.7043902051792051
82,https://homes.com,REAL ESTATE,US,DC,1.5464112427319436,1.496102964441226,1.3247070804100902,-1.5197457151696925,0.20519055876021278,1.0616452332090829,1.2828765017871913,-0.984213573296921
79,https://downshiftology.com,FOOD AND DRINK,US,AZ,0.14740488448918077,-0.2029414115803556,-0.21762233008651086,-0.22935556623690403,-0.055104565433201635,0.004892374346584839,-0.4517170780940811,0.2712101863663448
4,https://disneyplus.com,ENTERTAINMENT,US,CA,0.0509216873689897,-0.2029414115803556,-0.06653700007868049,-0.17845850699825525,1.5618802969804322,0.004892374346584839,-0.018068683123763,1.307312927775184
46,https://bankofamerica.com,FINANCE,US,NC,-1.4928094665540586,-1.3497963653949228,-1.640342520993579,1.712716537261323,-1.5379980002320477,-0.8317036389195587,-1.7526622630050355,-0.7346413801108501
20,https://aspcapetinsurance.com,PETS AND ANIMALS,US,NY,-2.5541246348761546,-2.3267468816073325,-2.666463720630092,2.8204760618671965,-2.1847919451975013,-1.7563623904242451,-1.7526622630050355,0.036763580646096
83,https://realtor.com,REAL ESTATE,US,FL,1.4499280456117527,1.453626855040686,1.3561831908283875,-1.4788284714680335,0.14208871047090016,1.1056766023283535,1.2828765017871913,-0.9615251920981871
38,https://creditkarma.com,FINANCE,US,CA,0.14740488448918077,0.13686746362396102,1.0980790853983453,-0.7802413838787436,-1.2146010277493207,0.3131119581814805,0.8492281068168732,-0.5153203618564242
14,https://trustedhousesitters.com,PETS AND ANIMALS,US,AZ,1.3052032499314674,1.9633401678471614,2.306761725460987,-1.3880121500814262,1.293697441750854,0.7974570184934586,2.583821686698146,0.868670891266332
23,https://sandiegozoo.org,PETS AND ANIMALS,US,CA,0.5815792715300383,0.5191524482288162,0.33635721327553386,-0.4618852682487675,0.3077310622303449,0.40117469642002174,0.8492281068168732,-0.439692424527312
88,https://remax.com,REAL ESTATE,US,CO,-2.505883036316059,-2.7090318662121886,-2.3831787268654105,2.279570059762346,-1.995486400329564,-1.580236913947162,-2.1863106579753535,1.0879919095207586
63,https://ilovepdf.com,COMPUTERS AND ELECTRONICS,US,AZ,-0.19028630543148664,-0.07551308337873669,-0.286869773006766,0.4832032631041718,-0.5599193517477027,-0.17123310213049753,0.4155797118465551,-0.8027065237070511
