,Complexity Avg
86,17.127142857142857
78,15.998571428571427
70,17.764285714285716
36,16.577142857142857
67,16.764285714285716
56,17.28
76,15.858571428571429
26,17.645714285714288
48,16.767142857142854
80,17.425714285714285
1,17.28571428571429
31,17.388571428571428
32,17.262857142857147
37,15.2
65,17.295714285714286
5,16.647142857142857
60,16.717142857142854
58,17.267142857142858
24,18.192857142857143
75,16.80857142857143
68,17.487142857142857
2,16.965714285714284
85,17.205714285714286
54,15.62142857142857
57,16.465714285714284
16,16.658571428571427
84,16.377142857142854
17,17.274285714285718
74,17.275714285714287
15,17.16142857142857
87,16.727142857142855
73,15.65857142857143
27,17.555714285714284
25,16.759999999999998
66,17.701428571428572
52,16.887142857142855
40,17.412857142857142
82,16.914285714285715
79,16.464285714285715
4,16.978571428571428
46,17.08142857142857
20,17.374285714285715
83,16.94
38,16.407142857142862
14,17.951428571428572
23,17.25142857142857
88,16.498571428571427
63,17.548571428571428
71,16.748571428571427
11,16.35142857142857
77,17.349999999999998
6,17.548571428571428
21,17.152857142857144
8,17.128571428571426
30,17.295714285714286
28,17.715714285714284
34,16.437142857142856
35,17.032857142857143
47,16.90857142857143
81,17.19
69,16.735714285714284
3,17.139999999999997
53,16.871428571428574
33,17.720000000000002
18,16.981428571428573
89,16.91
62,17.201428571428572
55,17.87142857142857
61,17.55
7,17.077142857142857
45,17.82142857142857
59,17.092857142857145
