,URL,traffic-count,traffic-value,domain-rating
33,https://intuit.com,10000000.0,14000000.0,92.0
8,https://expertoanimal.com,1200000.0,37000.0,74.0
13,https://aquariumcoop.com,528000.0,66000.0,58.0
21,https://petco.com,2600000.0,1700000.0,81.0
80,https://rentcafe.com,2300000.0,2700000.0,90.0
61,https://autodesk.com,6500000.0,11000000.0,90.0
53,https://usbank.com,5600000.0,7900000.0,84.0
72,https://ibm.com,9400000.0,8900000.0,92.0
31,https://paypal.com,38000000.0,13000000.0,95.0
65,https://freepdfconvert.com,8000000.0,464000.0,73.0
22,https://wagwalking.com,2000000.0,464000.0,78.0
20,https://aspcapetinsurance.com,419000.0,1500000.0,75.0
10,https://cats.com,601000.0,175000.0,68.0
0,https://sephora.com,8800000.0,3100000.0,87.0
88,https://remax.com,1700000.0,306000.0,85.0
50,https://discover.com,7500000.0,33000000.0,87.0
28,https://hangikredi.com,10000000.0,541000.0,61.0
71,https://pcmag.com,9400000.0,9800000.0,91.0
4,https://disneyplus.com,27000000.0,20000000.0,87.0
15,https://petmd.com,7400000.0,1800000.0,84.0
41,https://americanexpress.com,13000000.0,33000000.0,91.0
26,https://businessinsider.com,14000000.0,6800000.0,92.0
73,https://loveandlemons.com,14000000.0,1400000.0,79.0
9,https://wildlifetrusts.org,737000.0,317000.0,80.0
23,https://sandiegozoo.org,1000000.0,606000.0,81.0
62,https://webpkgcache.com,5100000.0,1400000.0,73.0
39,https://forbes.com,59000000.0,67000000.0,94.0
46,https://bankofamerica.com,14000000.0,28000000.0,88.0
30,https://tradingview.com,50000000.0,18000000.0,91.0
42,https://finance.yahoo.com,52000000.0,44000000.0,92.0
6,https://dogster.com,1400000.0,206000.0,77.0
77,https://swiggy.com,5700000.0,293000.0,81.0
63,https://ilovepdf.com,138000000.0,6600000.0,81.0
58,https://icloud.com,18000000.0,9300000.0,90.0
1,https://glamour.com,3300000.0,518000.0,87.0
36,https://wellsfargo.com,8800000.0,33000000.0,89.0
85,https://aplaceformom.com,1100000.0,2000000.0,77.0
14,https://trustedhousesitters.com,502000.0,168000.0,74.0
25,https://livemint.com,19000000.0,2600000.0,89.0
78,https://natashaskitchen.com,4300000.0,478000.0,76.0
55,https://apple.com,445000000.0,270000000.0,97.0
82,https://homes.com,2700000.0,574000.0,81.0
74,https://sallysbakingaddiction.com,9600000.0,1100000.0,81.0
60,https://cloud.google.com,6900000.0,16000000.0,92.0
24,https://animalia.bio,926000.0,26000.0,67.0
67,https://bluestacks.com,5100000.0,504000.0,84.0
7,https://dogtime.com,1400000.0,206000.0,79.0
87,https://housing.com,3800000.0,243000.0,77.0
18,https://aspca.org,660000.0,2800000.0,88.0
38,https://creditkarma.com,5300000.0,10000000.0,84.0
69,https://cnet.com,24000000.0,24000000.0,92.0
89,https://rent.com,1700000.0,661000.0,78.0
48,https://westernunion.com,12000000.0,8199999.999999999,87.0
17,https://spotpet.com,459000.0,189000.0,62.0
11,https://litter-robot.com,555000.0,280000.0,72.0
34,https://coinbase.com,10000000.0,8800000.0,91.0
16,https://petinsurance.com,636000.0,1900000.0,77.0
5,https://youtube.com,3300000000.0,510000000.0,99.0
49,https://nasdaq.com,8400000.0,6700000.0,90.0
52,https://pnc.com,6100000.0,12000000.0,82.0
29,https://wise.com,64000000.0,12000000.0,85.0
56,https://github.com,68000000.0,25000000.0,96.0
45,https://bankrate.com,14000000.0,29000000.0,90.0
51,https://fidelity.com,7500000.0,5500000.0,86.0
68,https://techtarget.com,13000000.0,11000000.0,91.0
83,https://realtor.com,13000000.0,3900000.0,91.0
81,https://apartments.com,14000000.0,8100000.0,82.0
35,https://schwab.com,9100000.0,5600000.0,86.0
40,https://investopedia.com,40000000.0,26000000.0,92.0
54,https://microsoft.com,467000000.0,121000000.0,96.0
64,https://iloveimg.com,13000000.0,755000.0,79.0
47,https://chase.com,13000000.0,30000000.0,87.0
