Industry,Country,State,URL,traffic-count,traffic-value,domain-rating,flesch_kincaid,automated_readability,coleman_liau,flesch_reading_ease,gunning_fog,smog,word_count,sentence_count,long_word_count,reading_time,standard,dale_chall,avg_sentence_length,WORDS,CAPABILITY,LEGAL,BUSINESS_FOCUS,UTILIZATION,INNOVATION,SECURITY,EDUCATION,TECHNOLOGY,DNSMI,num-pages-analyzed
BEAUTY AND FITNESS,US,FL,https://sephora.com,8800000.0,3100000.0,87.0,13.1,16.1,14.1,40.69,10.71,15.3,6347,288,1301,523.87,11.0,6.55,14.784722222222221,222,73,64,30,17,15,34,37,10,N/A,1
BEAUTY AND FITNESS,US,NY,https://glamour.com,3300000.0,518000.0,87.0,13.1,16.1,14.1,40.69,10.71,15.3,6347,288,1301,523.87,11.0,6.55,14.784722222222221,426,92,110,100,39,11,30,37,6,N/A,1
BEAUTY AND FITNESS,US,CA,https://yelp.com,108000000.0,97000000.0,95.0,14.2,15.9,14.1,32.43,10.53,15.6,8378,385,1823,691.43,16.0,6.33,16.318446601941748,293,106,73,65,58,7,31,45,14,N/A,1
BEAUTY AND FITNESS,BR,NON-US,https://eudora.com.br,935000.0,89000.0,63.0,14.3,16.1,12.71,37.44,11.13,15.3,13102,519,2373,1017.31,13.0,5.84,20.90793650793651,10,8,10,12,15,2,14,28,0,False,1
ENTERTAINMENT,US,CA,https://disneyplus.com,27000000.0,20000000.0,87.0,11.2,12.5,12.53,45.56,11.86,13.2,635,37,115,50.24,12.0,8.94,9.157142857142857,20,8,15,8,5,1,5,8,4,N/A,1
ENTERTAINMENT,US,CA,https://youtube.com,3300000000.0,510000000.0,99.0,10.7,12.2,12.76,46.67,9.6,13.6,823,51,172,65.61,11.0,7.54,13.491803278688524,552,114,47,39,67,23,89,109,14,N/A,1
PETS AND ANIMALS,US,AZ,https://dogster.com,1400000.0,206000.0,77.0,10.7,12.8,12.18,52.19,9.17,12.8,9249,486,1383,712.3,13.0,6.15,13.655375552282768,113,40,27,20,19,7,12,26,5,N/A,1
PETS AND ANIMALS,US,AZ,https://dogtime.com,1400000.0,206000.0,79.0,12.7,14.2,12.53,41.6,11.11,14.4,5138,244,947,401.73,13.0,7.1,14.445983379501385,194,42,42,26,26,10,10,33,20,N/A,1
PETS AND ANIMALS,US,AZ,https://expertoanimal.com,1200000.0,37000.0,74.0,12.7,14.6,12.94,41.5,10.96,14.2,3646,172,651,288.82,13.0,6.97,14.431372549019608,15,3,0,0,1,0,0,22,0,False,1
PETS AND ANIMALS,US,AZ,https://wildlifetrusts.org,737000.0,317000.0,80.0,8.3,9.1,10.08,58.48,9.34,11.3,218,17,35,16.41,9.0,8.47,6.875,213,42,28,24,54,8,19,32,23,N/A,1
PETS AND ANIMALS,US,AZ,https://cats.com,601000.0,175000.0,68.0,10.0,11.9,11.71,54.12,9.52,12.5,3821,223,600,294.59,10.0,7.27,11.786585365853659,39,3,10,4,5,3,5,4,3,N/A,1
PETS AND ANIMALS,US,AZ,https://litter-robot.com,555000.0,280000.0,72.0,12.6,13.6,13.45,36.39,11.12,14.3,788,44,168,64.12,13.0,8.57,10.945205479452055,18,3,6,1,0,3,3,7,2,N/A,1
PETS AND ANIMALS,US,AZ,https://lancasterpuppies.com,532000.0,107000.0,51.0,8.9,10.7,11.59,56.76,8.57,11.2,723,50,101,56.23,9.0,7.89,10.805970149253731,79,13,13,11,8,3,6,14,3,N/A,1
PETS AND ANIMALS,US,AZ,https://aquariumcoop.com,528000.0,66000.0,58.0,11.7,13.2,13.0,44.14,10.0,13.0,1767,95,286,139.57,13.0,7.63,13.587786259541986,22,8,11,6,3,3,3,10,2,N/A,1
PETS AND ANIMALS,US,AZ,https://trustedhousesitters.com,502000.0,168000.0,74.0,13.8,17.6,16.3,33.44,11.52,15.0,1061,51,222,94.81,18.0,8.36,14.075949367088608,205,37,39,15,81,2,5,17,3,N/A,1
PETS AND ANIMALS,US,FL,https://petmd.com,7400000.0,1800000.0,84.0,10.9,12.2,11.08,51.68,10.17,13.1,4027,206,627,299.06,11.0,6.75,12.901273885350319,347,85,70,62,39,19,18,32,16,N/A,1
PETS AND ANIMALS,US,FL,https://petinsurance.com,636000.0,1900000.0,77.0,13.7,15.5,14.21,33.54,10.36,15.3,6783,328,1499,562.48,14.0,6.42,13.793939393939393,21,6,11,3,0,1,2,13,1,N/A,1
PETS AND ANIMALS,US,FL,https://spotpet.com,459000.0,189000.0,62.0,8.9,10.3,10.9,56.86,10.06,12.9,809,56,164,61.87,11.0,8.47,9.914634146341463,126,34,43,15,8,2,12,8,2,N/A,1
PETS AND ANIMALS,US,NY,https://aspca.org,660000.0,2800000.0,88.0,11.8,13.1,12.53,44.03,10.41,14.0,2974,159,578,233.45,13.0,7.38,12.558333333333334,141,34,19,21,8,5,13,19,9,N/A,1
PETS AND ANIMALS,US,NY,https://adoptapet.com,613000.0,115000.0,81.0,12.1,13.8,13.0,43.22,10.72,14.0,2519,129,468,200.21,14.0,7.1,13.10880829015544,63,12,6,3,1,7,4,20,11,N/A,1
PETS AND ANIMALS,US,NY,https://aspcapetinsurance.com,419000.0,1500000.0,75.0,5.8,7.5,8.4,75.61,7.11,9.2,1006,80,91,71.13,8.0,7.26,8.416666666666666,190,60,33,20,13,2,20,19,18,N/A,1
PETS AND ANIMALS,US,CA,https://petco.com,2600000.0,1700000.0,81.0,10.0,11.8,11.83,54.02,9.52,12.9,3589,209,615,276.42,10.0,7.13,11.717532467532468,56,11,8,5,1,5,1,8,3,N/A,1
PETS AND ANIMALS,US,CA,https://wagwalking.com,2000000.0,464000.0,78.0,8.8,11.3,12.17,57.16,7.8,12.1,2166,154,379,173.58,12.0,6.96,10.142857142857142,496,120,134,86,46,28,60,40,18,N/A,1
PETS AND ANIMALS,US,CA,https://sandiegozoo.org,1000000.0,606000.0,81.0,12.3,14.2,13.17,42.72,10.27,14.1,5290,264,968,422.81,14.0,6.63,15.08498583569405,65,14,21,8,4,2,7,2,3,N/A,1
PETS AND ANIMALS,US,CA,https://animalia.bio,926000.0,26000.0,67.0,13.4,17.0,15.03,39.77,12.15,15.0,2058,90,386,173.65,15.0,7.9,11.406417112299465,63,25,18,13,16,3,3,6,9,True,1
FINANCE,US,AZ,https://livemint.com,19000000.0,2600000.0,89.0,10.6,11.9,12.64,47.18,9.0,13.0,1261,81,242,100.44,13.0,7.23,9.82442748091603,267,67,69,36,52,13,18,22,11,False,1
FINANCE,US,AZ,https://businessinsider.com,14000000.0,6800000.0,92.0,11.6,13.7,11.95,49.75,10.62,13.9,5150,241,854,393.38,12.0,6.9,15.462686567164178,436,102,112,54,93,30,41,57,7,False,1
FINANCE,US,AZ,https://bankbazaar.com,11000000.0,1000000.0,75.0,12.8,15.0,13.34,41.4,10.35,15.0,10525,494,2116,847.48,15.0,6.51,14.804195804195805,211,21,42,31,19,9,33,10,4,False,1
FINANCE,US,AZ,https://hangikredi.com,10000000.0,541000.0,61.0,13.8,16.4,13.76,38.76,12.29,15.0,5291,221,955,427.38,14.0,7.33,16.595015576323988,76,1,13,5,16,3,4,8,6,False,1
FINANCE,US,CA,https://wise.com,64000000.0,12000000.0,85.0,10.3,11.8,12.69,47.89,9.82,12.9,922,62,181,74.04,13.0,7.9,9.35,425,99,145,40,147,13,36,34,3,False,1
FINANCE,US,CA,https://tradingview.com,50000000.0,18000000.0,91.0,13.2,14.8,12.71,40.18,10.28,14.9,15431,685,2917,1202.21,15.0,6.0,14.61157796451914,284,60,63,36,92,18,37,28,4,False,1
FINANCE,US,CA,https://paypal.com,38000000.0,13000000.0,95.0,10.7,12.6,11.95,52.19,9.88,13.4,6032,318,1019,462.9,11.0,6.64,14.025462962962964,483,99,72,54,69,4,58,58,13,False,1
FINANCE,US,CA,https://coinmarketcap.com,31000000.0,28000000.0,91.0,12.4,14.7,13.52,42.31,9.71,14.2,8434,414,1563,681.03,14.0,6.13,14.43931623931624,50,11,5,8,12,4,3,23,7,True,1
FINANCE,US,CA,https://intuit.com,10000000.0,14000000.0,92.0,8.5,10.3,10.44,63.19,9.31,11.3,1950,118,244,142.71,11.0,7.63,12.522292993630574,19,6,2,7,6,1,6,9,6,False,1
FINANCE,US,CA,https://coinbase.com,10000000.0,8800000.0,91.0,9.9,10.7,12.23,49.01,10.02,12.2,427,31,79,33.55,11.0,8.28,9.347826086956522,31,2,19,2,1,1,6,11,1,True,1
FINANCE,US,CA,https://schwab.com,9100000.0,5600000.0,86.0,8.7,10.4,11.65,57.47,9.51,11.5,812,59,127,63.12,10.0,8.46,9.363636363636363,122,18,21,18,5,4,16,35,14,False,1
FINANCE,US,CA,https://wellsfargo.com,8800000.0,33000000.0,89.0,10.5,12.0,12.87,47.28,9.39,13.0,2097,135,400,167.58,11.0,7.32,10.177884615384615,100,24,70,18,26,0,20,32,18,True,1
FINANCE,US,CA,https://experian.com,5400000.0,7000000.0,90.0,10.5,11.8,13.5,41.87,7.83,12.9,1217,97,284,102.29,8.0,6.85,10.089430894308943,204,79,63,22,108,8,32,111,1,False,1
FINANCE,US,CA,https://creditkarma.com,5300000.0,10000000.0,84.0,11.4,13.3,14.38,39.53,8.34,13.9,5776,389,1389,491.26,14.0,6.53,11.41132075471698,514,168,83,51,69,19,64,45,15,False,1
FINANCE,US,NY,https://forbes.com,59000000.0,67000000.0,94.0,12.0,14.4,13.87,43.53,9.44,14.7,9713,506,2072,794.42,15.0,6.16,12.63953488372093,558,162,101,89,111,20,48,79,17,True,1
FINANCE,US,NY,https://investopedia.com,40000000.0,26000000.0,92.0,13.1,15.0,12.82,40.48,10.49,15.0,14427,651,2824,1139.62,15.0,6.28,16.0707182320442,13,1,6,4,0,4,1,6,2,False,1
FINANCE,US,NY,https://americanexpress.com,13000000.0,33000000.0,91.0,8.8,10.2,11.3,57.06,10.64,12.0,427,30,72,32.69,12.0,9.89,9.953488372093023,58,16,6,3,19,1,11,25,0,True,1
FINANCE,US,VA,https://finance.yahoo.com,52000000.0,44000000.0,92.0,8.1,9.2,9.57,64.3,8.18,10.6,988,64,108,70.69,8.0,6.97,10.06060606060606,157,20,30,18,18,3,18,22,5,False,1
FINANCE,US,VA,https://capitalone.com,17000000.0,24000000.0,85.0,12.4,14.9,13.69,42.41,10.52,14.7,3170,156,642,258.29,15.0,7.03,13.548936170212766,19,9,6,1,4,0,6,15,0,False,1
FINANCE,US,NJ,https://cnbc.com,16000000.0,15000000.0,92.0,8.7,10.5,12.86,51.95,7.9,11.9,350,32,76,28.82,8.0,7.88,6.901960784313726,37,8,6,6,6,4,4,10,4,N/A,1
FINANCE,US,ID,https://bankrate.com,14000000.0,29000000.0,90.0,8.4,10.5,10.61,63.59,8.85,11.8,1028,64,149,76.68,11.0,8.0,13.578947368421053,449,105,101,34,175,7,29,132,4,True,1
