URL,Industry,Country,State,WORDS,CAPABILITY,LEGAL,BUSINESS_FOCUS,UTILIZATION,INNOVATION,SECURITY,EDUCATION,TECHNOLOGY
https://sephora.com,BEAUTY AND FITNESS,US,FL,222,73,64,30,17,15,34,37,10
https://glamour.com,BEAUTY AND FITNESS,US,NY,426,92,110,100,39,11,30,37,6
https://yelp.com,BEAUTY AND FITNESS,US,CA,293,106,73,65,58,7,31,45,14
https://eudora.com.br,BEAUTY AND FITNESS,BR,NON-US,10,8,10,12,15,2,14,28,0
https://disneyplus.com,ENTERTAINMENT,US,CA,20,8,15,8,5,1,5,8,4
https://youtube.com,ENTERTAINMENT,US,CA,552,114,47,39,67,23,89,109,14
https://dogster.com,PETS AND ANIMALS,US,AZ,113,40,27,20,19,7,12,26,5
https://dogtime.com,PETS AND ANIMALS,US,AZ,194,42,42,26,26,10,10,33,20
https://expertoanimal.com,PETS AND ANIMALS,US,AZ,15,3,0,0,1,0,0,22,0
https://wildlifetrusts.org,PETS AND ANIMALS,US,AZ,213,42,28,24,54,8,19,32,23
https://cats.com,PETS AND ANIMALS,US,AZ,39,3,10,4,5,3,5,4,3
https://litter-robot.com,PETS AND ANIMALS,US,AZ,18,3,6,1,0,3,3,7,2
https://lancasterpuppies.com,PETS AND ANIMALS,US,AZ,79,13,13,11,8,3,6,14,3
https://aquariumcoop.com,PETS AND ANIMALS,US,AZ,22,8,11,6,3,3,3,10,2
https://trustedhousesitters.com,PETS AND ANIMALS,US,AZ,205,37,39,15,81,2,5,17,3
https://petmd.com,PETS AND ANIMALS,US,FL,347,85,70,62,39,19,18,32,16
https://petinsurance.com,PETS AND ANIMALS,US,FL,21,6,11,3,0,1,2,13,1
https://spotpet.com,PETS AND ANIMALS,US,FL,126,34,43,15,8,2,12,8,2
https://aspca.org,PETS AND ANIMALS,US,NY,141,34,19,21,8,5,13,19,9
https://adoptapet.com,PETS AND ANIMALS,US,NY,63,12,6,3,1,7,4,20,11
https://aspcapetinsurance.com,PETS AND ANIMALS,US,NY,190,60,33,20,13,2,20,19,18
https://petco.com,PETS AND ANIMALS,US,CA,56,11,8,5,1,5,1,8,3
https://wagwalking.com,PETS AND ANIMALS,US,CA,496,120,134,86,46,28,60,40,18
https://sandiegozoo.org,PETS AND ANIMALS,US,CA,65,14,21,8,4,2,7,2,3
https://animalia.bio,PETS AND ANIMALS,US,CA,63,25,18,13,16,3,3,6,9
https://livemint.com,FINANCE,US,AZ,267,67,69,36,52,13,18,22,11
https://businessinsider.com,FINANCE,US,AZ,436,102,112,54,93,30,41,57,7
https://bankbazaar.com,FINANCE,US,AZ,211,21,42,31,19,9,33,10,4
https://hangikredi.com,FINANCE,US,AZ,76,1,13,5,16,3,4,8,6
https://wise.com,FINANCE,US,CA,425,99,145,40,147,13,36,34,3
https://tradingview.com,FINANCE,US,CA,284,60,63,36,92,18,37,28,4
https://paypal.com,FINANCE,US,CA,483,99,72,54,69,4,58,58,13
https://coinmarketcap.com,FINANCE,US,CA,50,11,5,8,12,4,3,23,7
https://intuit.com,FINANCE,US,CA,19,6,2,7,6,1,6,9,6
https://coinbase.com,FINANCE,US,CA,31,2,19,2,1,1,6,11,1
https://schwab.com,FINANCE,US,CA,122,18,21,18,5,4,16,35,14
https://wellsfargo.com,FINANCE,US,CA,100,24,70,18,26,0,20,32,18
https://experian.com,FINANCE,US,CA,204,79,63,22,108,8,32,111,1
https://creditkarma.com,FINANCE,US,CA,514,168,83,51,69,19,64,45,15
https://forbes.com,FINANCE,US,NY,558,162,101,89,111,20,48,79,17
https://investopedia.com,FINANCE,US,NY,13,1,6,4,0,4,1,6,2
https://americanexpress.com,FINANCE,US,NY,58,16,6,3,19,1,11,25,0
https://finance.yahoo.com,FINANCE,US,VA,157,20,30,18,18,3,18,22,5
https://capitalone.com,FINANCE,US,VA,19,9,6,1,4,0,6,15,0
https://cnbc.com,FINANCE,US,NJ,37,8,6,6,6,4,4,10,4
https://bankrate.com,FINANCE,US,ID,449,105,101,34,175,7,29,132,4
https://bankofamerica.com,FINANCE,US,NC,257,50,40,57,28,4,46,61,7
https://chase.com,FINANCE,US,DE,70,16,10,2,1,0,21,41,1
https://westernunion.com,FINANCE,US,CO,44,8,2,11,2,0,7,8,11
https://nasdaq.com,FINANCE,US,CT,362,100,145,59,124,10,22,34,13
https://discover.com,FINANCE,US,IL,23,7,8,3,1,1,6,6,0
https://fidelity.com,FINANCE,US,MA,62,10,11,7,2,0,15,12,11
https://pnc.com,FINANCE,US,PA,330,56,72,72,54,8,34,62,30
https://usbank.com,FINANCE,US,MN,41,3,16,8,0,0,7,15,2
https://microsoft.com,COMPUTERS AND ELECTRONICS,US,WA,1630,407,165,276,632,77,309,330,70
https://apple.com,COMPUTERS AND ELECTRONICS,US,CA,76,13,18,2,22,1,13,41,9
https://github.com,COMPUTERS AND ELECTRONICS,US,CA,279,60,47,45,94,15,45,37,32
https://hp.com,COMPUTERS AND ELECTRONICS,US,CA,115,56,22,53,139,17,57,70,29
https://icloud.com,COMPUTERS AND ELECTRONICS,US,CA,4,30,64,22,73,1,28,24,9
https://oracle.com,COMPUTERS AND ELECTRONICS,US,CA,204,46,49,27,45,5,17,27,9
https://cloud.google.com,COMPUTERS AND ELECTRONICS,US,CA,446,114,47,39,67,23,89,109,14
https://autodesk.com,COMPUTERS AND ELECTRONICS,US,CA,294,85,69,42,94,13,24,48,6
https://webpkgcache.com,COMPUTERS AND ELECTRONICS,US,CA,552,114,47,39,67,23,89,109,14
https://ilovepdf.com,COMPUTERS AND ELECTRONICS,US,AZ,5,2,6,1,4,1,6,20,8
